level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0																OSCAR	soyaux	2.7	45.65	0.2																						[45.67, 45.67]	[0.22, 0.22]	5041B.txt_converted_csv.csv	giub	1925-04-15	1928-11-15	5041	0-20400-0-5041	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20300-0-nan	IGRA2	soyaux	2.7	45.65	0.2																						[45.67, 45.67]	[0.22, 0.22]	5041B.txt_converted_csv.csv	giub	1925-04-15	1928-11-15	5041	0-20400-0-5041	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20500-0-nan	WBAN	soyaux	2.7	45.65	0.2																						[45.67, 45.67]	[0.22, 0.22]	5041B.txt_converted_csv.csv	giub	1925-04-15	1928-11-15	5041	0-20400-0-5041	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		Angoulême	45.67	0.22	134				5041.0	-999-999	-999-999		0.0		0-20400-0-5041	CHUAN	soyaux	2.7	45.65	0.2		-999																				[45.67, 45.67]	[0.22, 0.22]	5041B.txt_converted_csv.csv	giub	1925-04-15	1928-11-15	5041	0-20400-0-5041	['126', '137', '106', '107', '137', '138', '139', '140', '117']
1	2		Angoulême-Isle d'Espagnac	45.666	0.216	83				6064.0	193005	197609		0.5		0-20400-0-6064	CHUAN	soyaux	2.7	45.65	0.2		-999																				[45.67, 45.67]	[0.22, 0.22]	5041B.txt_converted_csv.csv	giub	1925-04-15	1928-11-15	5041	0-20400-0-5041	['126', '137', '106', '107', '137', '138', '139', '140', '117']
2	3		Angoulême-Lucioles	45.633	0.203	130				6066.0	192101	193004		4.3		0-20400-0-6066	CHUAN	soyaux	2.7	45.65	0.2		-999																				[45.67, 45.67]	[0.22, 0.22]	5041B.txt_converted_csv.csv	giub	1925-04-15	1928-11-15	5041	0-20400-0-5041	['126', '137', '106', '107', '137', '138', '139', '140', '117']
3	4		Angoulême-Lucioles	45.633	0.203	130				4503.0	192101	193004		4.3		0-20400-0-4503	CHUAN	soyaux	2.7	45.65	0.2		-999																				[45.67, 45.67]	[0.22, 0.22]	5041B.txt_converted_csv.csv	giub	1925-04-15	1928-11-15	5041	0-20400-0-5041	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4	5		Angoulême-Lucioles	45.633	0.203	130				6063.0	192101	193004		4.3		0-20400-0-6063	CHUAN	soyaux	2.7	45.65	0.2		-999																				[45.67, 45.67]	[0.22, 0.22]	5041B.txt_converted_csv.csv	giub	1925-04-15	1928-11-15	5041	0-20400-0-5041	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5	6		Angoulême	45.65	0.15	100				5638.0	-999-999	-999-999		5.9		0-20400-0-5638	CHUAN	soyaux	2.7	45.65	0.2		-999																				[45.67, 45.67]	[0.22, 0.22]	5041B.txt_converted_csv.csv	giub	1925-04-15	1928-11-15	5041	0-20400-0-5041	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20600-0-nan	SCHROEDER	soyaux	2.7	45.65	0.2																						[45.67, 45.67]	[0.22, 0.22]	5041B.txt_converted_csv.csv	giub	1925-04-15	1928-11-15	5041	0-20400-0-5041	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20700-0-nan	WMO	soyaux	2.7	45.65	0.2																						[45.67, 45.67]	[0.22, 0.22]	5041B.txt_converted_csv.csv	giub	1925-04-15	1928-11-15	5041	0-20400-0-5041	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20800-0-nan	AMMA	soyaux	2.7	45.65	0.2																						[45.67, 45.67]	[0.22, 0.22]	5041B.txt_converted_csv.csv	giub	1925-04-15	1928-11-15	5041	0-20400-0-5041	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20111-0-nan	HARA	soyaux	2.7	45.65	0.2																						[45.67, 45.67]	[0.22, 0.22]	5041B.txt_converted_csv.csv	giub	1925-04-15	1928-11-15	5041	0-20400-0-5041	['126', '137', '106', '107', '137', '138', '139', '140', '117']
